Date,Precip_acc,Precip_inc,SDS,SWES
2016-01-01,157.0,0.0,33.0,76.0
2016-01-02,157.0,3.0,33.0,76.0
2016-01-03,160.0,0.0,33.0,76.0
2016-01-04,160.0,0.0,33.0,76.0
2016-01-05,160.0,0.0,33.0,76.0
2016-01-06,160.0,0.0,33.0,76.0
2016-01-07,160.0,0.0,33.0,76.0
2016-01-08,160.0,3.0,33.0,76.0
2016-01-09,163.0,0.0,36.0,79.0
2016-01-10,163.0,0.0,36.0,79.0
2016-01-11,163.0,0.0,36.0,79.0
2016-01-12,163.0,5.0,36.0,79.0
2016-01-13,168.0,0.0,41.0,84.0
2016-01-14,168.0,0.0,41.0,84.0
2016-01-15,168.0,0.0,38.0,84.0
2016-01-16,168.0,0.0,36.0,84.0
2016-01-17,168.0,0.0,38.0,84.0
2016-01-18,168.0,0.0,36.0,84.0
2016-01-19,168.0,0.0,38.0,84.0
2016-01-20,168.0,0.0,38.0,84.0
2016-01-21,168.0,0.0,38.0,84.0
2016-01-22,168.0,0.0,38.0,84.0
2016-01-23,168.0,0.0,38.0,84.0
2016-01-24,168.0,0.0,38.0,84.0
2016-01-25,168.0,0.0,38.0,84.0
2016-01-26,168.0,0.0,38.0,84.0
2016-01-27,168.0,0.0,38.0,84.0
2016-01-28,168.0,0.0,38.0,84.0
2016-01-29,168.0,0.0,38.0,84.0
2016-01-30,168.0,3.0,38.0,84.0
2016-01-31,170.0,0.0,41.0,86.0
2016-02-01,170.0,0.0,41.0,86.0
2016-02-02,170.0,0.0,41.0,86.0
2016-02-03,170.0,0.0,38.0,86.0
2016-02-04,170.0,0.0,41.0,86.0
2016-02-05,170.0,0.0,41.0,86.0
2016-02-06,170.0,0.0,41.0,86.0
2016-02-07,170.0,0.0,41.0,86.0
2016-02-08,170.0,0.0,41.0,86.0
2016-02-09,170.0,0.0,41.0,86.0
2016-02-10,170.0,0.0,41.0,86.0
2016-02-11,170.0,0.0,41.0,86.0
2016-02-12,170.0,0.0,41.0,86.0
2016-02-13,170.0,0.0,41.0,86.0
2016-02-14,170.0,0.0,41.0,86.0
2016-02-15,170.0,0.0,41.0,86.0
2016-02-16,170.0,0.0,41.0,86.0
2016-02-17,170.0,0.0,41.0,86.0
2016-02-18,170.0,0.0,41.0,86.0
2016-02-19,170.0,0.0,41.0,86.0
2016-02-20,170.0,3.0,41.0,86.0
2016-02-21,173.0,0.0,43.0,89.0
2016-02-22,173.0,0.0,43.0,89.0
2016-02-23,173.0,0.0,43.0,89.0
2016-02-24,173.0,0.0,43.0,89.0
2016-02-25,173.0,0.0,43.0,89.0
2016-02-26,173.0,0.0,43.0,89.0
2016-02-27,173.0,0.0,43.0,89.0
2016-02-28,173.0,0.0,43.0,89.0
2016-02-29,173.0,0.0,43.0,89.0
2016-03-01,173.0,0.0,43.0,89.0
2016-03-02,173.0,0.0,43.0,89.0
2016-03-03,173.0,0.0,43.0,89.0
2016-03-04,173.0,0.0,43.0,89.0
2016-03-05,173.0,0.0,43.0,89.0
2016-03-06,173.0,0.0,43.0,89.0
2016-03-07,173.0,0.0,43.0,89.0
2016-03-08,173.0,0.0,43.0,89.0
2016-03-09,173.0,0.0,43.0,89.0
2016-03-10,173.0,0.0,43.0,89.0
2016-03-11,173.0,0.0,43.0,89.0
2016-03-12,173.0,0.0,43.0,89.0
2016-03-13,173.0,0.0,43.0,89.0
2016-03-14,173.0,0.0,43.0,89.0
2016-03-15,173.0,0.0,43.0,89.0
2016-03-16,173.0,0.0,43.0,89.0
2016-03-17,173.0,0.0,43.0,89.0
2016-03-18,173.0,5.0,43.0,89.0
2016-03-19,178.0,0.0,48.0,94.0
2016-03-20,178.0,0.0,48.0,94.0
2016-03-21,178.0,0.0,46.0,94.0
2016-03-22,178.0,0.0,46.0,94.0
2016-03-23,178.0,0.0,46.0,94.0
2016-03-24,178.0,0.0,46.0,94.0
2016-03-25,178.0,0.0,43.0,94.0
2016-03-26,178.0,0.0,41.0,94.0
2016-03-27,178.0,0.0,38.0,94.0
2016-03-28,178.0,0.0,36.0,94.0
2016-03-29,178.0,3.0,33.0,89.0
2016-03-30,180.0,0.0,28.0,86.0
2016-03-31,180.0,0.0,25.0,79.0
2016-04-01,180.0,3.0,25.0,74.0
2016-04-02,183.0,0.0,25.0,74.0
2016-04-03,183.0,0.0,25.0,74.0
2016-04-04,183.0,0.0,25.0,74.0
2016-04-05,183.0,0.0,25.0,69.0
2016-04-06,183.0,0.0,25.0,66.0
2016-04-07,183.0,8.0,25.0,64.0
2016-04-08,190.0,0.0,30.0,76.0
2016-04-09,190.0,0.0,25.0,79.0
2016-04-10,190.0,0.0,25.0,69.0
2016-04-11,190.0,0.0,23.0,58.0
2016-04-12,190.0,0.0,20.0,51.0
2016-04-13,190.0,0.0,18.0,46.0
2016-04-14,190.0,0.0,15.0,41.0
2016-04-15,190.0,0.0,13.0,33.0
2016-04-16,190.0,0.0,10.0,28.0
2016-04-17,190.0,0.0,8.0,25.0
2016-04-18,190.0,0.0,8.0,10.0
2016-04-19,190.0,0.0,5.0,8.0
2016-04-20,190.0,0.0,0.0,0.0
2016-04-21,190.0,0.0,0.0,0.0
2016-04-22,190.0,0.0,0.0,0.0
2016-04-23,190.0,0.0,0.0,0.0
2016-04-24,190.0,0.0,0.0,0.0
2016-04-25,190.0,3.0,0.0,0.0
2016-04-26,193.0,0.0,0.0,0.0
2016-04-27,193.0,0.0,0.0,0.0
2016-04-28,193.0,0.0,0.0,0.0
2016-04-29,193.0,0.0,0.0,0.0
2016-04-30,193.0,0.0,0.0,0.0
2016-05-01,193.0,0.0,0.0,0.0
2016-05-02,193.0,5.0,0.0,0.0
2016-05-03,198.0,0.0,0.0,0.0
2016-05-04,198.0,0.0,0.0,0.0
2016-05-05,198.0,0.0,0.0,0.0
2016-05-06,198.0,0.0,0.0,0.0
2016-05-07,198.0,0.0,0.0,0.0
2016-05-08,198.0,0.0,0.0,0.0
2016-05-09,198.0,13.0,0.0,0.0
2016-05-10,211.0,0.0,0.0,0.0
2016-05-11,211.0,0.0,0.0,0.0
2016-05-12,211.0,0.0,0.0,0.0
2016-05-13,211.0,0.0,0.0,0.0
2016-05-14,211.0,0.0,0.0,0.0
2016-05-15,211.0,0.0,0.0,0.0
2016-05-16,211.0,0.0,0.0,0.0
2016-05-17,211.0,0.0,0.0,0.0
2016-05-18,211.0,0.0,0.0,0.0
2016-05-19,211.0,0.0,0.0,0.0
2016-05-20,211.0,3.0,0.0,0.0
2016-05-21,213.0,0.0,0.0,0.0
2016-05-22,213.0,0.0,0.0,0.0
2016-05-23,213.0,0.0,0.0,0.0
2016-05-24,213.0,3.0,0.0,0.0
2016-05-25,216.0,0.0,0.0,0.0
2016-05-26,216.0,0.0,0.0,0.0
2016-05-27,216.0,0.0,0.0,0.0
2016-05-28,216.0,0.0,0.0,0.0
2016-05-29,216.0,0.0,0.0,0.0
2016-05-30,216.0,0.0,0.0,0.0
2016-05-31,216.0,0.0,0.0,0.0
2016-06-01,216.0,0.0,0.0,0.0
2016-06-02,216.0,3.0,0.0,0.0
2016-06-03,218.0,3.0,0.0,0.0
2016-06-04,221.0,3.0,0.0,0.0
2016-06-05,224.0,0.0,0.0,0.0
2016-06-06,224.0,0.0,0.0,0.0
2016-06-07,224.0,0.0,0.0,0.0
2016-06-08,224.0,0.0,0.0,0.0
2016-06-09,224.0,0.0,0.0,0.0
2016-06-10,224.0,0.0,0.0,0.0
2016-06-11,224.0,0.0,0.0,0.0
2016-06-12,224.0,3.0,0.0,0.0
2016-06-13,226.0,0.0,0.0,0.0
2016-06-14,226.0,0.0,0.0,0.0
