"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN","TOBS","WESD"
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-01",,,"-0.8","2.2","-3.9",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-02",,,"-3.3","1.7","-5.6",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-03",,,"-4.8","-3.3","-6.1",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-04",,,"-0.6","2.2","-3.3",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-05",,,"-0.6","2.2","-4.4",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-06",,,"-4.6","-2.8","-5.6",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-07",,,"-4.6","-3.9","-5.6",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-08",,,"-2.7","-1.1","-4.4",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-09",,,"-1.5","0.0","-3.9",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-10",,,"-1.9","1.1","-3.9",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-11",,,"-0.6","3.3","-3.9",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-12",,,"-2.4","-0.6","-6.1",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-13",,,"-4.2","-2.8","-6.7",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-14",,,"-4.3","-3.3","-5.0",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-15",,,"-6.4","-5.0","-7.8",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-16",,,"-6.6","-1.7","-11.1",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-17",,,"-4.4","-1.7","-8.9",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-18",,,"-3.7","0.6","-8.9",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-19",,,"-4.4","-1.7","-6.7",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-20",,,"-3.8","-2.8","-6.7",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-21",,,"-7.4","-3.9","-10.6",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-22",,,"-4.8","-1.1","-10.6",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-23",,,"-2.4","-0.6","-3.9",,
"USR0000AGAT","GATES GLACIER ALASKA, AK US","61.6028","-143.0131","1237.5","2016-01-24",,,"-1.9","-0.6","-3.9",,
