Data for MCCARTHY 3 SW, AK

Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2016-05-01, 55, 24, 39.5, 0.00, 0.0, 0
2016-05-02, 61, 32, 46.5, T, 0.0, 0
2016-05-03, 54, 24, 39.0, 0.14, 0.0, 0
2016-05-04, 56, 23, 39.5, T, 0.0, 0
2016-05-05, 56, 25, 40.5, 0.00, 0.0, 0
2016-05-06, 55, 31, 43.0, T, 0.0, 0
2016-05-07, 60, 21, 40.5, T, 0.0, 0
2016-05-08, 56, 21, 38.5, 0.01, 0.0, 0
2016-05-09, 63, 35, 49.0, 0.18, 0.0, 0
2016-05-10, 44, 30, 37.0, 0.72, 0.0, 0
2016-05-11, 63, 26, 44.5, 0.00, 0.0, 0
2016-05-12, 72, 26, 49.0, 0.00, 0.0, 0
2016-05-13, 77, 28, 52.5, 0.00, 0.0, 0
2016-05-14, 80, 29, 54.5, 0.00, 0.0, 0
2016-05-15, 80, 31, 55.5, 0.00, 0.0, 0
2016-05-16, 77, 29, 53.0, 0.00, 0.0, 0
2016-05-17, 74, 29, 51.5, 0.15, 0.0, 0
2016-05-18, 63, 34, 48.5, 0.00, 0.0, 0
2016-05-19, 62, 33, 47.5, 0.44, 0.0, 0
2016-05-20, 72, 35, 53.5, 0.00, 0.0, 0
2016-05-21, 56, 43, 49.5, 0.23, 0.0, 0
2016-05-22, 60, 43, 51.5, 0.11, 0.0, 0
2016-05-23, 66, 35, 50.5, T, 0.0, 0
2016-05-24, 68, 36, 52.0, T, 0.0, 0
2016-05-25, 57, 41, 49.0, 0.02, 0.0, 0
2016-05-26, 66, 31, 48.5, 0.00, 0.0, 0
2016-05-27, 69, 32, 50.5, 0.03, 0.0, 0
2016-05-28, 71, 45, 58.0, 0.00, 0.0, 0
2016-05-29, 72, 42, 57.0, 0.00, 0.0, 0
2016-05-30, 70, 29, 49.5, 0.00, 0.0, 0
2016-05-31, 71, 30, 50.5, 0.01, 0.0, 0
2016-06-01, 75, 31, 53.0, 0.00, 0.0, 0
2016-06-02, 73, 32, 52.5, 0.00, 0.0, 0
2016-06-03, 66, 45, 55.5, 0.33, 0.0, 0
2016-06-04, 67, 43, 55.0, 0.06, 0.0, 0
2016-06-05, 63, 31, 47.0, 0.02, 0.0, 0
2016-06-06, 65, 35, 50.0, 0.05, 0.0, 0
2016-06-07, 60, 31, 45.5, 0.11, 0.0, 0
2016-06-08, 65, 29, 47.0, 0.03, 0.0, 0
2016-06-09, 75, 32, 53.5, 0.00, 0.0, 0
2016-06-10, 78, 35, 56.5, 0.00, 0.0, 0
2016-06-11, 77, 36, 56.5, 0.00, 0.0, 0
2016-06-12, 69, 36, 52.5, 0.03, 0.0, 0
2016-06-13, 66, 37, 51.5, 0.30, 0.0, 0
2016-06-14, 67, 39, 53.0, 0.00, 0.0, 0
2016-06-15, 75, 39, 57.0, 0.00, 0.0, 0
2016-06-16, 81, 38, 59.5, 0.00, 0.0, 0
2016-06-17, 84, 39, 61.5, 0.00, 0.0, 0
2016-06-18, 84, 36, 60.0, 0.00, 0.0, 0
2016-06-19, 79, 38, 58.5, 0.00, 0.0, 0
2016-06-20, 74, 39, 56.5, 0.05, 0.0, 0
2016-06-21, 65, 39, 52.0, 0.02, 0.0, 0
2016-06-22, 76, 38, 57.0, 0.00, 0.0, 0
2016-06-23, 81, 39, 60.0, 0.00, 0.0, 0
2016-06-24, 80, 41, 60.5, 0.00, 0.0, 0
2016-06-25, 77, 45, 61.0, 0.03, 0.0, 0
2016-06-26, 65, 45, 55.0, 0.08, 0.0, 0
2016-06-27, 73, 39, 56.0, T, 0.0, 0
2016-06-28, 72, 40, 56.0, 0.01, 0.0, 0
2016-06-29, 75, 47, 61.0, 0.00, 0.0, 0
2016-06-30, 78, 42, 60.0, 0.00, 0.0, 0
2016-07-01, 72, 44, 58.0, 0.41, 0.0, 0
2016-07-02, 76, 47, 61.5, 0.14, 0.0, 0
2016-07-03, 69, 49, 59.0, 0.09, 0.0, 0
2016-07-04, 72, 43, 57.5, T, 0.0, 0
2016-07-05, 75, 41, 58.0, 0.00, 0.0, 0
2016-07-06, 77, 43, 60.0, T, 0.0, 0
2016-07-07, 74, 44, 59.0, 0.00, 0.0, 0
2016-07-08, 78, 43, 60.5, 0.00, 0.0, 0
2016-07-09, 83, 42, 62.5, 0.00, 0.0, 0
2016-07-10, 85, 41, 63.0, 0.00, 0.0, 0
2016-07-11, 81, 41, 61.0, 0.08, 0.0, 0
2016-07-12, 78, 44, 61.0, T, 0.0, 0
2016-07-13, 85, 44, 64.5, 0.00, 0.0, 0
2016-07-14, 87, 44, 65.5, 0.17, 0.0, 0
2016-07-15, 87, 46, 66.5, T, 0.0, 0
2016-07-16, 83, 47, 65.0, T, 0.0, 0
2016-07-17, 77, 47, 62.0, T, 0.0, 0
2016-07-18, 81, 47, 64.0, 0.00, 0.0, 0
2016-07-19, 83, 45, 64.0, 0.00, 0.0, 0
2016-07-20, 84, 51, 67.5, T, 0.0, 0
2016-07-21, 78, 49, 63.5, T, 0.0, 0
2016-07-22, 57, 48, 52.5, 0.54, 0.0, 0
2016-07-23, 59, 47, 53.0, 0.15, 0.0, 0
2016-07-24, 69, 48, 58.5, 0.28, 0.0, 0
2016-07-25, 59, 48, 53.5, 0.39, 0.0, 9
2016-07-26, 61, 45, 53.0, 0.19, 0.0, 0
2016-07-27, 68, 45, 56.5, 0.09, 0.0, 0
2016-07-28, 63, 48, 55.5, 0.10, 0.0, 0
2016-07-29, 72, 40, 56.0, 0.03, 0.0, 0
2016-07-30, 73, 39, 56.0, 0.00, 0.0, 0
2016-07-31, 75, 37, 56.0, 0.00, 0.0, 0
2016-08-01, 75, 35, 55.0, 0.00, 0.0, 0
2016-08-02, 76, 36, 56.0, 0.00, 0.0, 0
2016-08-03, 66, 42, 54.0, 0.23, 0.0, 0
2016-08-04, 74, 47, 60.5, 0.00, 0.0, 0
2016-08-05, 72, 49, 60.5, 0.39, 0.0, 0
2016-08-06, 65, 50, 57.5, 0.49, 0.0, 0
2016-08-07, 59, 45, 52.0, 0.21, 0.0, 0
2016-08-08, 65, 48, 56.5, 0.21, 0.0, 0
2016-08-09, 75, 49, 62.0, 0.03, 0.0, 0
2016-08-10, 70, 44, 57.0, 0.09, 0.0, 0
2016-08-11, 67, 42, 54.5, T, 0.0, 0
2016-08-12, 62, 41, 51.5, 0.23, 0.0, 0
2016-08-13, 65, 45, 55.0, 0.03, 0.0, 0
2016-08-14, 69, 44, 56.5, 0.02, 0.0, 0
2016-08-15, 71, 45, 58.0, T, 0.0, 0
2016-08-16, 60, 44, 52.0, 0.18, 0.0, 0
2016-08-17, 70, 43, 56.5, 0.06, 0.0, 0
2016-08-18, 71, 45, 58.0, 0.05, 0.0, 0
2016-08-19, 63, 43, 53.0, 0.14, 0.0, 0
2016-08-20, 65, 38, 51.5, 0.00, 0.0, 0
2016-08-21, 67, 37, 52.0, 0.00, 0.0, 0
2016-08-22, 62, 41, 51.5, T, 0.0, 0
2016-08-23, 65, 42, 53.5, 0.01, 0.0, 0
2016-08-24, 62, 46, 54.0, 0.08, 0.0, 0
2016-08-25, 55, 45, 50.0, 1.41, 0.0, 0
2016-08-26, 56, 47, 51.5, 1.09, 0.0, 0
2016-08-27, 69, 38, 53.5, T, 0.0, 0
2016-08-28, 72, 37, 54.5, 0.00, 0.0, 0
2016-08-29, 72, 36, 54.0, 0.00, 0.0, 0
2016-08-30, 66, 35, 50.5, 0.00, 0.0, 0
2016-08-31, 67, 38, 52.5, 0.00, 0.0, 0
2016-09-01, 70, 33, 51.5, 0.00, 0.0, 0
