"TOA5","5569","CR6","5569","CR6.Std.06.08","CPU:HMTD_AWS.CR6","32915","MIN_10"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","DR_Avg","UR_Avg","DLR_Avg","ULR_Avg","Rn_Avg","Albedo_Avg","Air_T_1_5m_Avg","Air_RH_1_5m_Avg","Vapor_p_1_5m_Avg","Air_T_3m_Avg","Air_RH_3m_Avg","Vapor_p_3m_Avg","RainSnow","WS_1_5m","WD_1_5m","Std_WD_1_5m","WS_3m","WD_3m","Std_WD_3m","Pressure_Avg","Raw_Distance_Avg","SignalQuality_Avg","Snow_depth_Avg"
"TS","RN","V","DegC","W/m2","W/m2","W/m2","W/m2","W/m2","%","DegC","%","kPa","DegC","%","kPa","mm","m/s","Deg","Deg","m/s","Deg","Deg","hPa","","","cm"
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","WVc","WVc","WVc","WVc","WVc","WVc","Avg","Avg","Avg","Avg"
"2019-06-12 18:20:00",1,13.18,17,560.4089,124.7973,304.2453,380.9601,358.8968,0.2226898,2.048351,75.40848,0.5338047,2.343952,74.51448,0.5387183,"NAN",0.353,145.3,0.01,0.206,149,0.01,636.7481,2.413,196,-113.4
"2019-06-12 18:30:00",2,13.24,16.6,489.0303,111.3088,240.01,389.3644,228.3672,0.2285587,1.799578,77.73025,0.5404813,2.010766,77.01151,0.5435848,"NAN",0.795,139.2,12.45,0.919,143.7,5.953,773.2249,2.413,200,-113.7
"2019-06-12 18:40:00",3,13.26,16.45,379.3125,88.78651,253.8236,381.7929,162.5566,0.2346596,1.579126,79.5703,0.5446408,2.213742,77.96568,0.5640951,"NAN",0.76,144.6,10.69,0.881,150.7,9.49,773.2236,2.414,203.2,-113.7
"2019-06-12 18:50:00",4,13.27,16.17,327.4505,84.14606,255.7065,376.8305,122.1805,0.2589819,2.391287,75.64092,0.5483292,2.785793,73.93475,0.5514251,-20.6947,0.016,157.1,1.262,0.105,153.1,2.478,773.2227,2.418,208.5,-114.4
"2019-06-12 19:10:00",5,13.2,16.17,326.4391,85.53535,241.929,370.265,112.5678,0.2633783,2.579808,73.9798,0.5439044,2.974762,72.65891,0.5493783,66.48792,0,307,0,0,0,0,773.2224,2.423,210.8,-115
"2019-06-12 19:20:00",6,13.19,15.17,185.2747,52.52867,239.1918,366.0117,5.926077,0.2879478,2.251727,74.03045,0.5316532,2.408617,73.54607,0.5340849,81.00102,0.302,344.2,18.36,0.101,356.4,21.15,773.2258,2.433,207.5,-115.9
"2019-06-12 19:30:00",7,13.18,12.69,396.7151,92.54896,237.0535,362.67,178.5496,0.2368938,1.839283,75.60751,0.5272037,2.437631,73.29992,0.5333611,79.98069,1.027,339.8,34.81,0.41,338.8,60.94,773.2283,2.425,212.7,-114.9
"2019-06-12 19:40:00",8,13.24,12.14,399.2399,89.69104,236.6315,363.9199,182.2605,0.2247452,2.785964,70.66843,0.5270227,3.598489,67.60618,0.5338381,79.65546,0.303,321.2,39.38,0.057,260.5,52.52,773.1871,2.31,201.2,-103.7
"2019-06-12 19:50:00",9,13.22,12.58,357.6741,73.69254,236.4875,362.0113,158.4577,0.206007,2.296121,74.40459,0.5356006,2.860525,72.00981,0.5393778,79.5401,0.536,119.6,4.314,0.669,128.8,6.86,773.079,2.334,204.7,-106
"2019-06-12 20:00:00",10,13.18,12.33,350.9232,68.19628,236.2426,358.8144,160.1551,0.1942008,1.731017,77.0824,0.5334079,2.070338,75.70361,0.5367288,79.3381,0.555,141.1,7.963,0.688,149.5,6.724,773.0753,2.386,221.4,-110.9
"2019-06-12 20:10:00",11,13.19,12.06,321.588,61.17753,236.6176,355.7969,141.2311,0.1902666,1.677997,77.81902,0.5364406,1.845709,77.21563,0.5387189,79.0179,0.354,126.2,15.58,0.511,131.4,16.24,773.0748,2.389,227.4,-111.2
"2019-06-12 20:20:00",12,13.14,11.87,318.4069,56.10262,238.0818,353.4561,146.93,0.1761955,1.827141,77.02576,0.5366563,1.810616,77.41222,0.5386854,78.67498,0.651,153.6,11.06,0.741,155.1,9.74,773.1013,2.387,226.3,-111.1
"2019-06-12 20:30:00",13,13.14,11.7,288.812,48.49566,239.9091,350.7578,129.4677,0.1679112,1.500555,78.6737,0.5355004,1.522379,79.02644,0.5387431,78.24763,0.509,146.3,9.99,0.639,147.5,9.85,773.2272,2.386,225.5,-110.8
"2019-06-12 20:40:00",14,13.13,11.57,277.6906,44.24706,241.2674,348.2043,126.5068,0.1593337,1.468216,79.67835,0.541074,1.444153,80.03203,0.5425156,77.81003,0.381,135.7,1.429,0.537,142.5,3.45,773.2264,2.385,235.6,-110.8
"2019-06-12 20:50:00",15,13.1,11.51,233.1375,36.04009,241.8534,345.9648,92.98592,0.1548916,1.49624,80.49004,0.5476816,1.475401,80.92628,0.5498353,77.39283,0.267,129.4,2.729,0.456,139.3,7.685,773.2273,2.387,230.1,-111
"2019-06-12 21:00:00",16,13.08,11.21,209.7854,32.02758,241.5535,343.1833,76.12811,0.1527768,1.369117,81.40232,0.5488545,1.348431,81.64359,0.549657,76.72914,0.26,110.3,23.65,0.349,120.8,19.45,773.2267,2.386,227.7,-110.8
"2019-06-12 21:10:00",17,13.07,10.79,144.2925,25.20684,240.5811,339.9615,19.70526,0.1840649,1.508121,79.86767,0.543924,1.367098,80.55842,0.5431025,75.86169,0.136,39.05,25.7,0.216,64.89,41.87,773.2275,2.389,216.4,-111.2
"2019-06-12 21:20:00",18,13.04,10.16,68.91715,18.62482,243.2764,337.2391,-43.67035,0.2703747,1.400289,80.49126,0.5439491,1.483482,80.15633,0.5449207,74.64796,0.002,239,0.523,0.002,218.9,0,773.2325,2.397,221.1,-111.9
"2019-06-12 21:30:00",19,13.02,9.38,75.45803,17.59037,239.0659,333.7724,-36.83886,0.2405646,1.030598,80.81048,0.5317633,1.049502,80.85771,0.5327775,73.05956,0.433,336.2,7.583,0.27,357.7,12.15,773.2336,2.39,234.5,-111
"2019-06-12 21:40:00",20,13.02,8.55,65.94093,17.49545,254.6946,331.8364,-28.69631,0.2663032,0.6962526,82.16121,0.5277766,0.6714986,82.51319,0.5290915,71.14303,1.167,328.7,8.93,0.466,345.9,22.3,773.2665,2.393,228.2,-111.2
"2019-06-12 21:50:00",21,12.99,7.734,44.76206,13.19525,252.6866,330.0568,-45.80341,0.298648,0.7306793,81.70367,0.5260807,0.6797344,82.21349,0.5274452,69.09648,1.082,332.1,14.25,0.439,1.614,18.77,773.3515,2.396,207.6,-111.5
"2019-06-12 22:00:00",22,12.96,6.925,28.03802,9.953364,241.25,326.8511,-67.51649,0.3553958,0.90787,83.38077,0.5437992,0.8461868,83.68359,0.5434001,67.03331,0.223,61.53,39.7,0.258,67.32,44.25,773.388,2.397,207,-111.7
"2019-06-12 22:10:00",23,12.92,6.203,25.01956,9.023588,255.9947,326.137,-54.14633,0.3614555,0.6083058,94.77157,0.6049172,0.6764445,94.20387,0.6042551,65.12276,0.102,132.5,0.824,0.145,136.1,0.303,773.4026,2.404,206.5,-112.2
"2019-06-12 22:20:00",24,12.91,5.646,26.87958,9.262941,281.1646,326.8241,-28.04279,0.3459348,0.6203783,87.66738,0.5600629,0.7164154,87.20254,0.5609894,63.44258,0.203,51.06,11.86,0.101,28.47,5.345,773.5382,2.396,205.3,-111.4
"2019-06-12 22:30:00",25,12.91,5.233,25.01853,8.514366,286.8835,326.9492,-23.56155,0.3414954,0.7452718,85.09836,0.5485594,0.7834179,85.19517,0.5507118,62.00978,0.073,35.95,6.863,0.011,31.76,3.961,773.4713,2.398,203.2,-111.7
"2019-06-12 22:40:00",26,12.87,4.85,17.28815,6.958689,275.9994,326.0033,-39.67439,0.4041646,0.8457024,87.24737,0.5665081,0.9090556,86.93975,0.5671269,60.72029,0.186,106.8,2.802,0.229,117.1,2.883,773.3882,2.401,208,-112
"2019-06-12 22:50:00",27,12.85,4.411,11.66402,5.774163,261.7019,324.1783,-56.58654,0.5099629,0.7192639,86.64342,0.557519,0.8152276,86.11747,0.5579869,59.47555,0.063,322.2,2.645,0.001,252.7,13.83,773.413,2.399,207.6,-111.8
"2019-06-12 23:00:00",28,12.84,3.962,6.940068,4.928309,249.3717,321.5376,-70.1542,0.7161301,0.6950018,85.33286,0.5481042,0.7423701,84.88391,0.5470648,58.24307,0.343,339.3,15.31,0.131,352.2,16.62,773.3884,2.401,204.3,-112
"2019-06-12 23:10:00",29,12.83,3.519,3.356437,4.441591,246.3858,319.5638,-74.26317,1.53745,0.6534944,87.12074,0.5579058,0.628659,87.02304,0.5562828,57.03905,0.198,322.5,13.6,0.021,319.9,10.54,773.3899,2.404,200.6,-112.3
"2019-06-12 23:20:00",30,12.8,3.104,0.6726521,4.087494,248.1264,318.1896,-73.4781,5.358519,0.5062229,88.05494,0.5579197,0.5492096,87.84258,0.5583084,55.88028,0.006,333.6,4.799,0.017,14.44,32.16,773.3904,2.406,200.2,-112.4
"2019-06-12 23:30:00",31,12.79,2.734,0.0557064,3.711216,257.0726,317.5481,-64.13098,33.42881,0.4710224,90.05542,0.5691455,0.5488045,89.3273,0.5677239,54.83238,0.012,64.64,0.129,0,0,0,773.4055,2.406,200.1,-112.4
"2019-06-12 23:40:00",32,12.79,2.434,0,3.242972,267.157,317.8275,-53.91341,0,0.4000959,89.52502,0.5629011,0.448332,88.98766,0.5614812,53.94018,0.162,229.5,23.92,0.131,220.6,24.96,773.5404,2.407,200,-112.5
"2019-06-12 23:50:00",33,12.79,2.173,0,3.092937,258.0513,316.9236,-61.96523,0,0.3087713,90.51871,0.5653943,0.3089762,89.99334,0.5621181,53.18595,0.726,112.2,19.29,0.731,120.4,18.26,773.5587,2.407,199.9,-112.4
"2019-06-13 00:00:00",34,12.76,1.956,0,2.756916,259.9561,316.6454,-59.44622,0,0.2932652,91.59426,0.5714697,0.3041486,91.09572,0.5688094,52.50729,0.273,133.7,1.83,0.329,137.8,1.715,773.6984,2.408,199.8,-112.5
"2019-06-13 00:10:00",35,12.76,1.741,0,1.987929,246.6634,314.6151,-69.93959,0,0.2081017,93.28543,0.5784374,0.2263017,93.08428,0.5779518,51.87041,0.111,40,1.62,0.124,29.69,5.032,773.7716,2.404,200.6,-112.1
"2019-06-13 00:20:00",36,12.76,1.524,0,1.743709,245.4121,313.5011,-69.83267,0,0.04313024,93.17527,0.5708736,0.02426656,92.90466,0.5684398,51.27903,1.615,326.2,19.31,1.121,338.9,27.69,773.7292,2.408,201.1,-112.4
"2019-06-13 00:30:00",37,12.76,1.362,0,1.179766,243.1889,312.9351,-70.92599,0,-0.1778285,95.15083,0.5737025,-0.3156525,94.80112,0.5658868,50.79159,2.901,322.1,7.416,1.551,331.2,31.02,773.6978,2.409,202.3,-112.4
"2019-06-13 00:40:00",38,12.76,1.218,0,1.767436,240.3795,312.2135,-73.60143,0,0.1739536,93.44813,0.577969,0.05659688,93.78305,0.5751198,50.34778,1.299,325.7,8.11,0.632,327.7,20.1,773.7613,2.408,200.2,-112.4
"2019-06-13 00:50:00",39,12.73,1.061,0,2.450051,238.4112,311.0864,-75.12524,0,0.3106986,91.32701,0.5705193,0.2433255,91.17131,0.5667716,49.86255,0.254,55.02,45.66,0.237,47.98,38.97,773.8486,2.406,200.4,-112.3
"2019-06-13 01:00:00",40,12.71,0.922,0,2.458511,238.3737,310.6884,-74.7732,0,0.1646652,94.23111,0.5823641,0.1042128,93.89115,0.5777097,49.4418,0.914,95.9,21.77,0.829,98.6,20.54,773.8484,2.409,199.3,-112.6
"2019-06-13 01:10:00",41,12.71,0.837,0,2.343773,240.0544,311.7423,-74.03166,0,-0.03042666,97.89333,0.5965942,-0.0391463,97.81105,0.5957211,49.10742,0.995,109.9,12.89,1.08,118.2,9.62,773.8471,2.409,198.7,-112.5
