,SWin,SWout,LWin,LWout,T_RTD,P,T_HMP,RH_HMP,Wspd,Wdir,SWin_global,T_Hobo,RH_Hobo,Orig_Data
6/1/20 00:00,0.054544167,0.548367286,329.7823833,329.18155,3.953080035,935.888676,3.676455,92.819,0.92775,221.4730285,0.172905,4.02852,95.007175,0
6/1/20 01:00,0.097298333,0.55633954,326.8369167,325.9828333,4.29896274,936.4405335,4.4661,87.3556,1.00704,231.6272465,0.19631,4.348046667,89.57909833,0
6/1/20 02:00,0.006776667,0.560235942,328.1243167,326.2659667,4.845347125,936.700217,5.03579,82.68875,1.093965,238.850088,0.091,5.003295,86.76257667,0
6/1/20 03:00,0.008096333,0.55633954,323.8405,325.4809,4.06438227,936.9089645,4.035185,84.71755,1.002555,218.9088085,0.0975,4.239488333,88.875535,0
6/1/20 04:00,0.743041667,0.560235942,323.9092333,326.6974833,4.190052035,937.01687,4.490725,85.4101,0.992945,239.4375766,2.828625,4.584445,88.53450667,0
6/1/20 05:00,14.750665,0.640918405,322.1713667,326.2945833,4.036631865,937.132998,3.9859,92.478,1.006165,221.4914825,9.05132,4.218926667,95.28740333,0
6/1/20 06:00,48.042395,4.90604554,320.17495,325.9024667,4.113399755,937.133523,4.0406,88.7069,1.037455,236.8492199,36.8759,4.372313333,91.49028,0
6/1/20 07:00,170.67619,10.41840759,321.94755,340.8886167,4.83373434,937.115276,4.706335,84.77625,1.32483,266.1725964,154.1358,4.754145,88.134515,0
6/1/20 08:00,242.34457,19.10006705,324.4508333,353.9513167,5.99256083,937.104091,5.635845,82.57985,0.80283,217.1850316,211.3047,5.957476667,86.64354167,0
6/1/20 09:00,402.3237717,39.33990907,329.3052,374.2976,6.91048802,937.0080445,6.359955,79.9251,0.69394,212.32438,457.3885,6.943655,82.59111833,0
6/1/20 10:00,595.9533667,67.67765906,341.2093167,405.5873667,9.25123715,936.951438,8.478985,71.3162,0.849055,239.189004,629.095,9.297776667,75.451155,0
6/1/20 11:00,632.4913,76.47585789,326.71315,422.8182333,10.74395663,936.646362,10.235925,64.8309,1.28313,255.3451137,614.8115,10.46409333,67.093885,0
6/1/20 12:00,743.5216,92.3988818,318.6372167,467.8082667,12.87869304,936.21451,12.4001,52.74245,1.06264,251.2855551,817.286,13.05381333,53.763785,0
6/1/20 13:00,550.5607667,63.75768797,327.2668167,438.69025,12.27635801,935.826738,11.6844,49.7947,0.928115,248.0164109,548.82495,12.32324,50.93908833,0
6/1/20 14:00,576.2479,70.5323604,338.4465167,441.4876833,12.95477125,935.8506805,12.53165,45.63835,1.202845,224.1970802,562.1931,12.78165833,47.77633,0
6/1/20 15:00,319.27303,46.8465382,344.6125833,422.4985833,11.78459843,935.7303075,11.355675,46.465,1.456525,242.2254836,374.8975,11.69218,49.78982,0
6/1/20 16:00,324.54175,46.22416128,334.5429,408.1813333,10.68216835,935.1655415,10.43255,49.39595,1.681935,259.260506,387.7235,10.78976833,53.14446333,0
6/1/20 17:00,351.8167733,47.36730167,323.8189333,401.5093833,10.65302694,934.2530775,10.4515,49.45105,1.57833,264.4065597,411.1055,10.71606,53.244695,0
6/1/20 18:00,391.8860467,53.49064816,306.9832,423.07635,11.94927929,934.1614945,11.55295,49.89015,1.180625,254.0646513,419.0155,11.79638167,51.481605,0
6/1/20 19:00,490.4127267,61.64575444,322.1908667,439.0437167,12.93386978,933.5519765,12.38685,44.6847,0.676545,220.6133301,515.79095,12.72637667,47.123495,0
6/1/20 20:00,318.0131806,45.98879453,310.6472333,399.4168833,11.16722415,933.2936295,10.88751,48.9721,0.879765,205.4341827,341.9455,11.05509833,50.64625167,0
6/1/20 21:00,105.08077,12.08676124,308.9750167,366.4876667,9.220233905,933.0159,8.985685,56.06625,1.120695,197.2060344,125.4024,9.287528333,58.239385,0
6/1/20 22:00,9.788299834,1.867548565,291.4388167,336.8175667,6.18228601,933.411189,6.27677,68.2336,1.070185,215.4197916,8.311295,6.373613333,69.230955,0
6/1/20 23:00,0.019739833,1.126575899,285.6063167,323.3535167,5.14273997,933.532686,4.978685,74.07315,1.274435,248.9965542,0.19508,5.20979,75.89322167,0
6/2/20 00:00,2.02E-05,0.834416554,294.0925,324.7817667,4.710294225,933.7026835,4.59787,73.2287,1.254335,201.6012177,0.0039,4.770675,75.6662,0
6/2/20 01:00,0.000899167,0.560235942,306.60095,326.0990167,4.48485155,933.798239,4.36207,77.2836,1.148585,176.4869354,0.0364,4.451155,79.208065,0
6/2/20 02:00,0.000924,0.560235942,298.1678167,325.1220667,4.409582245,934.0119335,4.36686,76.2664,1.16166,245.3566349,0.067605,4.522236667,78.896575,0
6/2/20 03:00,0.008906167,0.834416554,282.4868167,320.8391667,4.03823058,934.2845785,3.91714,77.29515,1.20302,249.2682264,0.119645,4.387598333,79.614325,0
6/2/20 04:00,8.025206833,1.764531237,271.2356833,313.9736167,3.01989555,934.2762035,2.986025,79.93355,1.049775,208.4229634,5.11361,3.260003333,81.80072333,0
6/2/20 05:00,99.83784,10.96120895,288.9545,318.80715,3.8041612,934.540027,3.912645,78.03395,0.9954,231.8443618,36.6098,4.389038333,80.49779833,0
