Date	T_a2m
28.05.2019 00:00	5.46
28.05.2019 01:00	4.52
28.05.2019 02:00	5.33
28.05.2019 03:00	5.31
28.05.2019 04:00	5.58
28.05.2019 05:00	4.68
28.05.2019 06:00	4.36
28.05.2019 07:00	5.07
28.05.2019 08:00	5.53
28.05.2019 09:00	6.21
28.05.2019 10:00	7.82
28.05.2019 11:00	8.18
28.05.2019 12:00	9.46
28.05.2019 13:00	9.51
28.05.2019 14:00	9.66
28.05.2019 15:00	9.5
28.05.2019 16:00	9.56
28.05.2019 17:00	9.19
28.05.2019 18:00	9.09
28.05.2019 19:00	8.35
28.05.2019 20:00	6.75
28.05.2019 21:00	5.98
28.05.2019 22:00	5.66
28.05.2019 23:00	4.97
29.05.2019 00:00	4.12
29.05.2019 01:00	3.94
29.05.2019 02:00	4.23
29.05.2019 03:00	4.14
29.05.2019 04:00	3.39
29.05.2019 05:00	3.51
29.05.2019 06:00	3.76
29.05.2019 07:00	4.48
29.05.2019 08:00	6.34
29.05.2019 09:00	7.91
29.05.2019 10:00	9.4
29.05.2019 11:00	10.22
29.05.2019 12:00	11.46
29.05.2019 13:00	11.95
29.05.2019 14:00	12.72
29.05.2019 15:00	14.1
29.05.2019 16:00	14.43
29.05.2019 17:00	13.73
29.05.2019 18:00	12.96
29.05.2019 19:00	12.49
29.05.2019 20:00	11.49
29.05.2019 21:00	9.55
29.05.2019 22:00	5.57
29.05.2019 23:00	5.57
30.05.2019 00:00	4.4
30.05.2019 01:00	4.53
30.05.2019 02:00	4.09
30.05.2019 03:00	3.78
30.05.2019 04:00	3.58
30.05.2019 05:00	3.45
30.05.2019 06:00	4.65
30.05.2019 07:00	5.64
30.05.2019 08:00	6.48
30.05.2019 09:00	7.21
30.05.2019 10:00	9.19
30.05.2019 11:00	10.2
30.05.2019 12:00	11.92
30.05.2019 13:00	12.81
30.05.2019 14:00	13.22
30.05.2019 15:00	15.24
30.05.2019 16:00	14.72
30.05.2019 17:00	13.58
30.05.2019 18:00	11.6
30.05.2019 19:00	8.23
30.05.2019 20:00	7.79
30.05.2019 21:00	7.58
30.05.2019 22:00	7.83
30.05.2019 23:00	6
31.05.2019 00:00	5.26
31.05.2019 01:00	5.39
31.05.2019 02:00	5.19
31.05.2019 03:00	4.23
31.05.2019 04:00	3.77
31.05.2019 05:00	4.21
31.05.2019 06:00	3.93
31.05.2019 07:00	3.76
31.05.2019 08:00	4.44
31.05.2019 09:00	5.37
31.05.2019 10:00	5.98
31.05.2019 11:00	6.26
31.05.2019 12:00	7.4
31.05.2019 13:00	8.04
31.05.2019 14:00	8.81
31.05.2019 15:00	8.6
31.05.2019 16:00	7.2
31.05.2019 17:00	7.36
31.05.2019 18:00	7.85
31.05.2019 19:00	7.01
31.05.2019 20:00	6.11
31.05.2019 21:00	5.84
31.05.2019 22:00	5.15
31.05.2019 23:00	4.64
01.06.2019 00:00	4.59
01.06.2019 01:00	3.95
01.06.2019 02:00	4.07
01.06.2019 03:00	3.05
01.06.2019 04:00	2.69
01.06.2019 05:00	2.96
01.06.2019 06:00	3.38
01.06.2019 07:00	3.9
01.06.2019 08:00	4.83
01.06.2019 09:00	5.39
01.06.2019 10:00	5.57
01.06.2019 11:00	5.84
01.06.2019 12:00	7.18
01.06.2019 13:00	8.81
01.06.2019 14:00	8.11
01.06.2019 15:00	7.56
01.06.2019 16:00	9.15
01.06.2019 17:00	7.43
01.06.2019 18:00	7.84
01.06.2019 19:00	6.22
01.06.2019 20:00	5.66
01.06.2019 21:00	5.35
01.06.2019 22:00	4.34
01.06.2019 23:00	4.08
02.06.2019 00:00	3.58
02.06.2019 01:00	3.13
02.06.2019 02:00	3.03
02.06.2019 03:00	2.83
02.06.2019 04:00	2.32
02.06.2019 05:00	2.32
02.06.2019 06:00	2.73
02.06.2019 07:00	3.54
02.06.2019 08:00	4.63
02.06.2019 09:00	6.21
02.06.2019 10:00	6.68
02.06.2019 11:00	7.56
02.06.2019 12:00	8.63
02.06.2019 13:00	9.89
02.06.2019 14:00	10.67
02.06.2019 15:00	11.51
02.06.2019 16:00	12.2
02.06.2019 17:00	11.78
02.06.2019 18:00	11.96
02.06.2019 19:00	10.47
02.06.2019 20:00	8.92
02.06.2019 21:00	7.03
02.06.2019 22:00	5.69
02.06.2019 23:00	5.45
03.06.2019 00:00	4.29
03.06.2019 01:00	3.78
03.06.2019 02:00	2.94
03.06.2019 03:00	2.77
03.06.2019 04:00	2.15
03.06.2019 05:00	2.69
03.06.2019 06:00	2.7
03.06.2019 07:00	3.55
03.06.2019 08:00	6.68
03.06.2019 09:00	9.23
03.06.2019 10:00	9.31
03.06.2019 11:00	11.56
03.06.2019 12:00	13.52
03.06.2019 13:00	12.05
03.06.2019 14:00	11.19
03.06.2019 15:00	12.64
03.06.2019 16:00	12.73
03.06.2019 17:00	10.27
03.06.2019 18:00	9.37
03.06.2019 19:00	9.1
03.06.2019 20:00	8.74
