# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: GGLA2
# STATION NAME: GATES GLACIER
# LATITUDE: 61.602889
# LONGITUDE: -143.013211
# ELEVATION [ft]: 4060
# STATE: AK
Station_ID,Date_Time,air_temp_set_1,snow_depth_set_1,precip_accum_set_1
,,Fahrenheit,Inches,Inches
GGLA2,2019-06-27T12:33:00Z,54.81,0.0,11.34
GGLA2,2019-06-27T13:33:00Z,54.3,6.4,11.34
GGLA2,2019-06-27T14:33:00Z,54.61,6.4,11.34
GGLA2,2019-06-27T15:33:00Z,55.51,6.9,11.34
GGLA2,2019-06-27T16:33:00Z,57.7,4.4,11.34
GGLA2,2019-06-27T17:33:00Z,59.59,4.4,11.34
GGLA2,2019-06-27T18:33:00Z,61.0,6.6,11.34
GGLA2,2019-06-27T19:33:00Z,62.1,0.0,11.34
GGLA2,2019-06-27T20:33:00Z,62.1,0.0,11.34
GGLA2,2019-06-27T21:33:00Z,63.39,6.5,11.34
GGLA2,2019-06-27T22:33:00Z,64.2,103.0,11.34
GGLA2,2019-06-27T23:33:00Z,64.51,0.0,11.34
GGLA2,2019-06-28T00:33:00Z,65.41,6.7,11.34
GGLA2,2019-06-28T01:33:00Z,66.0,6.0,11.34
GGLA2,2019-06-28T02:33:00Z,,2.9,11.34
GGLA2,2019-06-28T03:33:00Z,65.5,3.1,11.34
GGLA2,2019-06-28T04:33:00Z,63.1,0.3,11.34
GGLA2,2019-06-28T05:33:00Z,64.09,1.0,11.34
GGLA2,2019-06-28T06:33:00Z,62.6,1.1,11.34
GGLA2,2019-06-28T07:33:00Z,62.4,1.2,11.34
GGLA2,2019-06-28T08:33:00Z,62.4,0.6,11.34
GGLA2,2019-06-28T09:33:00Z,60.6,1.4,11.34
GGLA2,2019-06-28T10:33:00Z,60.6,1.3,11.34
GGLA2,2019-06-28T11:33:00Z,59.4,2.5,11.34
GGLA2,2019-06-28T12:33:00Z,57.51,0.9,11.34
GGLA2,2019-06-28T13:33:00Z,57.2,1.0,11.34
GGLA2,2019-06-28T14:33:00Z,56.89,0.9,11.34
GGLA2,2019-06-28T15:33:00Z,57.31,0.6,11.34
GGLA2,2019-06-28T16:33:00Z,57.31,0.6,11.34
GGLA2,2019-06-28T17:33:00Z,57.6,0.7,11.34
GGLA2,2019-06-28T18:33:00Z,58.6,0.9,11.34
GGLA2,2019-06-28T19:33:00Z,60.3,0.9,11.34
GGLA2,2019-06-28T20:33:00Z,61.3,1.0,11.34
GGLA2,2019-06-28T21:33:00Z,62.29,1.3,11.34
GGLA2,2019-06-28T22:33:00Z,64.0,0.7,11.34
GGLA2,2019-06-28T23:33:00Z,65.5,1.5,11.34
GGLA2,2019-06-29T00:33:00Z,68.0,1.6,11.34
GGLA2,2019-06-29T01:33:00Z,68.5,1.1,11.34
GGLA2,2019-06-29T02:33:00Z,68.5,0.8,11.34
GGLA2,2019-06-29T03:33:00Z,68.2,0.4,11.34
GGLA2,2019-06-29T04:33:00Z,68.11,1.1,11.34
GGLA2,2019-06-29T05:33:00Z,66.51,1.2,11.34
GGLA2,2019-06-29T06:33:00Z,64.4,1.4,11.34
GGLA2,2019-06-29T07:33:00Z,64.51,0.9,11.34
GGLA2,2019-06-29T08:33:00Z,64.29,1.7,11.34
GGLA2,2019-06-29T09:33:00Z,63.9,0.9,11.34
GGLA2,2019-06-29T10:33:00Z,63.7,1.8,11.34
GGLA2,2019-06-29T11:33:00Z,62.91,1.9,11.34
GGLA2,2019-06-29T12:33:00Z,61.9,1.8,11.34
GGLA2,2019-06-29T13:33:00Z,60.1,1.4,11.34
GGLA2,2019-06-29T14:33:00Z,59.4,1.8,11.34
GGLA2,2019-06-29T15:33:00Z,61.3,2.2,11.34
GGLA2,2019-06-29T16:33:00Z,63.1,1.1,11.34
GGLA2,2019-06-29T17:33:00Z,62.29,0.7,11.34
GGLA2,2019-06-29T18:33:00Z,63.61,1.1,11.34
GGLA2,2019-06-29T19:33:00Z,64.71,1.3,11.34
GGLA2,2019-06-29T20:33:00Z,67.1,1.7,11.34
GGLA2,2019-06-29T21:33:00Z,68.7,1.4,11.34
GGLA2,2019-06-29T22:33:00Z,71.2,2.0,11.34
GGLA2,2019-06-29T23:33:00Z,72.0,1.6,11.34
GGLA2,2019-06-30T00:33:00Z,72.3,0.5,11.34
GGLA2,2019-06-30T01:33:00Z,72.61,0.5,11.34
GGLA2,2019-06-30T02:33:00Z,71.6,1.4,11.34
GGLA2,2019-06-30T03:33:00Z,70.81,0.9,11.34
GGLA2,2019-06-30T04:33:00Z,70.39,1.5,11.34
GGLA2,2019-06-30T05:33:00Z,70.0,1.2,11.34
GGLA2,2019-06-30T06:33:00Z,67.6,1.0,11.34
GGLA2,2019-06-30T07:33:00Z,66.31,1.0,11.34
GGLA2,2019-06-30T08:33:00Z,66.0,0.7,11.34
GGLA2,2019-06-30T09:33:00Z,65.61,1.1,11.34
GGLA2,2019-06-30T10:33:00Z,64.6,0.9,11.34
GGLA2,2019-06-30T11:33:00Z,63.0,0.8,11.34
GGLA2,2019-06-30T12:33:00Z,61.81,0.8,11.34
GGLA2,2019-06-30T13:33:00Z,61.39,0.7,11.34
GGLA2,2019-06-30T14:33:00Z,61.5,1.0,11.34
GGLA2,2019-06-30T15:33:00Z,62.91,0.5,11.34
GGLA2,2019-06-30T16:33:00Z,64.6,1.0,11.34
GGLA2,2019-06-30T17:33:00Z,65.1,0.9,11.34
GGLA2,2019-06-30T18:33:00Z,66.99,1.1,11.34
GGLA2,2019-06-30T19:33:00Z,68.5,1.5,11.34
GGLA2,2019-06-30T20:33:00Z,69.49,1.0,11.34
GGLA2,2019-06-30T21:33:00Z,70.39,1.5,11.34
GGLA2,2019-06-30T22:33:00Z,71.49,1.1,11.34
GGLA2,2019-06-30T23:33:00Z,72.19,1.1,11.34
GGLA2,2019-07-01T00:33:00Z,72.9,1.1,11.34
GGLA2,2019-07-01T01:33:00Z,71.91,0.6,11.34
GGLA2,2019-07-01T02:33:00Z,70.9,1.4,11.34
GGLA2,2019-07-01T03:33:00Z,70.7,1.1,11.34
GGLA2,2019-07-01T04:33:00Z,70.59,1.1,11.34
GGLA2,2019-07-01T05:33:00Z,69.4,1.3,11.34
GGLA2,2019-07-01T06:33:00Z,66.9,0.9,11.34
GGLA2,2019-07-01T07:33:00Z,66.2,1.6,11.34
GGLA2,2019-07-01T08:33:00Z,64.8,1.0,11.34
GGLA2,2019-07-01T09:33:00Z,64.71,0.0,11.34
GGLA2,2019-07-01T10:33:00Z,63.0,1.0,11.34
GGLA2,2019-07-01T11:33:00Z,61.39,1.1,11.34
GGLA2,2019-07-01T12:33:00Z,59.7,1.1,11.34
