"TOA5","Truwels20117031-Station2","CR6","6665","CR6.Std.06.03","CPU:HM2017031_ice_HRQ1_MIn60.CR6","19999","AERJIN_ICE_Hr"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","DR_Avg","UR_Avg","DLR_Avg","ULR_Avg","Rn_Avg","Albedo_Avg","Air_T_3m_Avg","Air_RH_3m_Avg","Vapor_p_3m_Avg","Air_T_1m_Avg","Air_RH_1m_Avg","Vapor_p_1m_Avg","SBTempC_Avg","TargTempC_Avg","RainSnow","WS_3m","WD_3m","Std_WD_3m","WS_1m","WD_1m","Std_WD_1m","Pressure_Avg","Raw_Distance_Avg","SignalQuality_Avg","Snow_depth_Avg"
"TS","RN","V","DegC","W/m2","W/m2","W/m2","W/m2","W/m2","%","DegC","%","kPa","DegC","%","kPa","","DegC","mm","m/s","Deg","Deg","m/s","Deg","Deg","hPa","","","cm"
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","WVc","WVc","WVc","WVc","WVc","WVc","Avg","Avg","Avg","Avg"
"2020-12-19 10:00:00",18798,12.21,-13.78,0.3628455,0.08046699,248.6187,246.7733,2.127729,0.2102454,-16.22545,86.90638,0.1501326,-16.31947,86.44305,0.1481632,-16.01,-16.44,157.5854,0,0,0,0,0,0,906.3323,1.341,368.2,-130
"2020-12-19 11:00:00",18799,12.21,-14.46,0.9669457,0.9801523,247.2582,243.552,3.693007,1.198541,-16.23076,86.09692,0.1487161,-16.38503,85.52853,0.1458937,-16.17,-17.53,156.2736,0,0,0,0,0,0,905.7903,1.341,504.1,-130.1
"2020-12-19 12:00:00",18800,12.2,-15.36,4.239583,9.863346,244.0293,238.6548,-0.2492622,2.243884,-17.00636,86.44719,0.1398757,-17.45196,85.25337,0.1328697,-17.05,-18.88,155.1106,0,0,0,0,199.2,3.911,905.2985,1.348,469.4,-130.5
"2020-12-19 13:00:00",18801,12.2,-15.38,8.78167,23.51864,245.2445,243.3123,-12.80481,2.682639,-17.12786,86.45497,0.1384732,-17.18654,85.77373,0.1367024,-16.74,-17.28,155.0235,0,0,0,0,0,0,904.7687,1.347,492.4,-130.4
"2020-12-19 14:00:00",18802,12.21,-15.21,9.636609,24.53884,247.0328,245.3113,-13.18073,2.538289,-17.12543,86.45385,0.1385067,-17.17497,85.75528,0.1368101,-16.4,-16.68,155.1687,0,0,0,0,0,0,904.0839,1.36,392.9,-131.7
"2020-12-19 15:00:00",18803,12.2,-15.32,8.965813,21.55223,246.7229,244.5925,-10.45605,2.390236,-17.42827,86.02511,0.1343793,-17.44782,85.54134,0.1333991,-16.54,-16.86,154.3853,0,152.8,3.085,0,0,0,903.1568,1.387,302.6,-134.2
"2020-12-19 16:00:00",18804,12.2,-15.71,2.523557,5.946975,243.1714,243.9391,-4.191101,2.444287,-17.74069,86.45554,0.1314989,-17.7834,85.86345,0.1301247,-17.39,-16.84,153.2849,0,0,0,0,0,0,902.9844,1.396,428,-135
"2020-12-19 17:00:00",18805,12.19,-15.5,0.2366195,1.280719,243.8849,246.8764,-4.035641,3.998745,-17.15405,86.16967,0.1377423,-17.17137,85.65314,0.1367135,-17.06,-15.94,153.1115,0,0,0,0,0,0,902.0423,1.414,318.7,-136.9
"2020-12-19 18:00:00",18806,12.19,-15.91,0.2322988,0,242.4984,242.2093,0.5213677,0,-17.792,85.77021,0.1299056,-17.8244,85.23465,0.1287482,-17.47,-17.39,152.0719,0,0,0,0,0,0,902.0045,1.425,260.4,-137.7
"2020-12-19 19:00:00",18807,12.19,-16.43,0.07330208,0.001202013,240.1002,238.5509,1.621353,0,-18.13244,86.26609,0.1269176,-18.21295,85.32182,0.1246745,-18.1,-18.5,151.2649,0,0,0,0,0,0,901.5699,1.425,243.7,-137.7
"2020-12-19 20:00:00",18808,12.19,-16.52,0,0.3655191,239.6963,240.7877,-1.456924,0,-18.00646,85.97744,0.1278576,-18.08321,85.1542,0.1258144,-18.13,-17.66,151.1498,0,0,0,0,0,0,901.1731,1.433,252,-138.5
"2020-12-19 21:00:00",18809,12.19,-16.09,0,0.8112251,241.5969,245.3585,-4.572794,0,-17.46993,85.85754,0.1336239,-17.50211,85.37739,0.1325228,-17.58,-16.2,151.7547,0,0,0,0,0,0,901.1176,1.436,268.5,-139
"2020-12-19 22:00:00",18810,12.2,-15.7,0.06192664,0.1774725,243.8563,246.9983,-3.257569,12.54901,-17.25805,85.52448,0.1354905,-17.23816,85.20084,0.1352042,-17.04,-15.76,152.043,0,0,0,0,0,0,901.351,1.434,274.9,-138.8
