"TOA5","5569","CR6","5569","CR6.Std.06.08","CPU:HMTD_AWS.CR6","32915","MIN_10"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","DR_Avg","UR_Avg","DLR_Avg","ULR_Avg","Rn_Avg","Albedo_Avg","Air_T_1_5m_Avg","Air_RH_1_5m_Avg","Vapor_p_1_5m_Avg","Air_T_3m_Avg","Air_RH_3m_Avg","Vapor_p_3m_Avg","RainSnow","WS_1_5m","WD_1_5m","Std_WD_1_5m","WS_3m","WD_3m","Std_WD_3m","Pressure_Avg","Raw_Distance_Avg","SignalQuality_Avg","Snow_depth_Avg"
"TS","RN","V","DegC","W/m2","W/m2","W/m2","W/m2","W/m2","%","DegC","%","kPa","DegC","%","kPa","mm","m/s","Deg","Deg","m/s","Deg","Deg","hPa","","","cm"
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","WVc","WVc","WVc","WVc","WVc","WVc","Avg","Avg","Avg","Avg"
"1945-04-09 05:10:00",0,14.34,15.7,820.1041,1080.826,"NAN","NAN","NAN",0.002270086,2.234569,53.30523,0.382426,0.4566168,99.77567,0.6299221,387.857,1.753,353.7,14.97,0,0,0,772.5392,0.392,323.1,89.1
"1945-04-09 05:20:00",1,14.3,16.12,0,849.3273,"NAN","NAN","NAN",0,1.885585,55.02142,0.3849819,0.4594158,99.51398,0.6283972,387.7797,1.617,349.8,23.97,0.03,83.7,25.61,772.5873,0.392,320.3,89
"2021-06-07 12:20:00",2,14.36,17.02,0,321.6782,"NAN","NAN","NAN",0,2.380018,51.9888,0.376897,0.5225152,98.91895,0.6274981,387.8342,0.384,37.33,86.4,0.019,77.53,18.87,772.7397,0.411,212.4,87.1
"2021-06-07 12:30:00",3,14.31,17.45,0,224.5288,"NAN","NAN","NAN",0,3.501845,50.53404,0.3960947,0.5521099,98.70521,0.6274834,387.8758,0.161,252.2,36.06,0.022,73.33,19.42,772.7421,0.421,211.4,86.1
"2021-06-07 12:40:00",4,14.33,17.74,0,188.7378,"NAN","NAN","NAN",0,3.100339,50.52613,0.3850137,0.5738256,98.43679,0.6267604,387.9085,0.853,7.651,5.337,0.001,62.92,0.768,772.7374,0.416,246.4,86.6
"2021-06-07 12:50:00",5,14.33,17.2,0,209.6056,"NAN","NAN","NAN",0,2.863407,49.55227,0.3718125,0.6196268,98.23064,0.6275219,387.9402,1.248,9.26,9.48,0,0,0,772.736,0.438,188.6,84.4
"2021-06-07 13:00:00",6,14.38,16.41,0,389.6871,"NAN","NAN","NAN",0,2.64083,48.94796,0.361456,0.7064196,97.84722,0.6290035,387.966,0.852,352.6,15.07,0,0,0,772.7379,0.431,214.8,85.1
"2021-06-07 13:10:00",7,14.33,15.95,0,449.3058,"NAN","NAN","NAN",0,3.25528,48.57225,0.3746263,0.7949336,97.29252,0.6294464,387.9839,0.551,356.9,26.85,0,0,0,772.7431,0.428,201.5,85.4
"2021-06-07 13:20:00",8,14.32,15.36,0,497.8883,"NAN","NAN","NAN",0,2.820111,49.27502,0.3685199,0.8641242,96.65795,0.6284706,388.0027,0.999,349.9,29.44,0,0,0,772.8806,0.423,214.7,85.9
"2021-06-07 13:30:00",9,14.33,14.2,0,514.1261,"NAN","NAN","NAN",0,2.310924,51.85138,0.3739786,0.9284095,96.07384,0.6275751,388.0186,2.004,345.5,12.81,0,0,0,772.8929,0.432,234.2,85
"2021-06-07 13:40:00",10,14.33,13.21,0,513.8506,"NAN","NAN","NAN",0,2.292859,52.22392,0.3761874,0.9664561,95.61787,0.6263122,388.0334,1.875,353.9,18.33,0,0,0,772.8947,0.427,230.4,85.5
"2021-06-07 13:50:00",11,14.33,12.51,0,620.2412,"NAN","NAN","NAN",0,2.642272,50.58105,0.3735326,1.009686,95.31743,0.6262921,388.0483,1.163,3.499,14.74,0,0,0,772.8958,0.418,262,86.4
"2021-06-07 14:00:00",12,13.89,12.44,0,553.088,"NAN","NAN","NAN",0,3.459176,51.62832,0.403666,1.039498,95.1123,0.626288,388.0573,0.41,25.13,8.2,0,0,0,772.8969,0.42,257.1,86.1
"2021-06-07 14:10:00",13,13.89,12.92,0,563.3673,"NAN","NAN","NAN",0,4.694071,44.11127,0.3760559,1.063577,94.90276,0.6259924,388.0691,0.035,114.4,6.487,0,0,0,772.8961,0.427,217.2,85.4
"2021-06-07 14:20:00",14,13.89,13.46,0,618.166,"NAN","NAN","NAN",0,6.029288,38.56936,0.3609163,1.104014,94.65076,0.6261504,388.0801,0,0,0,0,0,0,772.8953,0.422,207.2,85.7
"2021-06-07 14:30:00",15,13.89,13.95,0,695.2849,"NAN","NAN","NAN",0,5.404391,39.23107,0.3516368,1.12936,94.42711,0.6258116,388.09,0,0,0,0,0,0,772.8948,0.409,270.6,87.1
"2021-06-07 14:40:00",16,13.89,14.33,0,764.4895,"NAN","NAN","NAN",0,4.532314,41.02634,0.3459378,1.148557,94.17976,0.625035,388.1029,0.08,178.7,1.826,0,0,0,772.8933,0.412,220.8,86.9
"2021-06-07 14:50:00",17,13.88,14.5,0,860.2616,"NAN","NAN","NAN",0,3.05159,48.73033,0.3703452,1.182719,93.95542,0.6250808,388.1147,0.934,200.8,11.57,0,0,0,772.8919,0.422,199.4,85.9
"2021-06-07 15:00:00",18,13.89,14.61,0,903.1417,"NAN","NAN","NAN",0,2.882432,54.03239,0.4059296,1.195652,93.803,0.6246474,388.1267,0.852,198.6,12.11,0,0,0,772.8926,0.429,201.4,85.2
"2021-06-07 15:10:00",19,13.89,14.82,0,921.2394,"NAN","NAN","NAN",0,3.013765,55.8741,0.4236656,1.195114,93.68745,0.6238538,388.1375,0.5,189.3,11.57,0,0,0,773.0209,0.448,210.6,83.4
"2021-06-07 15:20:00",20,13.86,15.24,0,935.3087,"NAN","NAN","NAN",0,3.607863,55.62902,0.4396599,1.195596,93.61623,0.6234012,388.1544,0.438,172.7,18.6,0,0,0,773.0419,0.441,217.5,84
"2021-06-07 15:30:00",21,13.86,15.65,0,977.8046,"NAN","NAN","NAN",0,3.322897,60.04772,0.4652714,1.194908,93.57519,0.6230971,388.217,0.4,162.7,8.72,0,0,0,773.0681,0.44,223.1,84.1
"2021-06-07 15:40:00",22,13.86,16.18,0,966.4902,"NAN","NAN","NAN",0,6.129445,50.09154,0.4700368,1.195481,93.64009,0.6235549,388.3649,0,0,0,0,0,0,773.1005,0.462,246.3,81.7
"2021-06-07 15:50:00",23,13.85,16.82,0,984.8989,"NAN","NAN","NAN",0,6.957248,46.31023,0.4601659,1.193089,93.74704,0.6241596,388.5475,0,0,0,0,0,0,773.136,0.459,216.6,82
"2021-06-07 16:00:00",24,13.84,17.21,0,1040.889,"NAN","NAN","NAN",0,3.442983,57.90127,0.452422,1.165938,93.84336,0.6235822,388.5536,0.243,352.3,10.1,0,0,0,773.1883,0.452,251.1,82.9
"2021-06-07 16:10:00",25,13.84,17.27,0,1042.644,"NAN","NAN","NAN",0,2.902156,59.17665,0.4451391,1.138097,93.95984,0.6231066,388.4414,0.58,1.3,9.94,0,0,0,773.1879,0.46,218.8,82.1
"2021-06-07 16:20:00",26,13.83,17.35,0,1012.187,"NAN","NAN","NAN",0,3.036586,57.85366,0.4393505,1.103298,94.11716,0.6225883,388.4503,0.576,9.8,5.383,0,0,0,773.1874,0.463,227.2,81.9
"2021-06-07 16:30:00",27,13.82,17.85,0,979.7679,"NAN","NAN","NAN",0,3.348418,56.57006,0.4392295,1.075591,94.27371,0.6223815,388.4681,0.554,95.2,20.98,0,0,0,773.1875,0.467,240.2,81.5
"2021-06-07 16:40:00",28,13.82,18.35,0,951.8598,"NAN","NAN","NAN",0,2.732333,56.33208,0.418685,1.058504,94.3827,0.6223347,388.4899,1.07,105.8,4.778,0,0,0,773.1891,0.464,214.6,81.7
"2021-06-07 16:50:00",29,13.81,18.91,0,916.8207,"NAN","NAN","NAN",0,3.092601,51.7347,0.3943677,1.058855,94.47188,0.6229384,388.5168,0.619,103.4,8.45,0,0,0,773.1884,0.478,241.4,80.3
"2021-06-07 17:00:00",30,13.8,19.6,0,892.2183,"NAN","NAN","NAN",0,3.037904,55.96808,0.4249463,1.02285,94.52552,0.6216784,388.5068,0.926,102,7.544,0,0,0,773.1874,0.477,220.7,80.5
"2021-06-07 17:10:00",31,13.8,20.07,0,873.5261,"NAN","NAN","NAN",0,2.866793,58.39265,0.4381738,1.01381,94.55341,0.6214566,388.4512,0.848,110.6,21.61,0,0,0,773.1876,0.466,283.1,81.6
"2021-06-07 17:20:00",32,13.8,20.42,0,787.7105,"NAN","NAN","NAN",0,2.790644,58.97134,0.4401135,1.014086,94.5788,0.6216358,388.3946,1.191,104.9,5.167,0,0,0,773.1881,0.473,211.5,80.9
"2021-06-07 17:30:00",33,13.78,20.48,0,744.1409,"NAN","NAN","NAN",0,2.627373,59.95338,0.4423091,1.014461,94.57041,0.6215975,388.3331,1.105,128.3,13.9,0,0,0,773.186,0.481,199.2,80
"2021-06-07 17:40:00",34,13.77,20.57,0,730.9026,"NAN","NAN","NAN",0,2.956515,59.52533,0.4494324,1.014993,94.50599,0.6211979,388.3222,0.583,147.7,12.35,0,0,0,773.187,0.48,193.4,80.2
"2021-06-07 17:50:00",35,13.77,20.85,0,730.9792,"NAN","NAN","NAN",0,3.404786,58.45818,0.4556753,1.02868,94.41298,0.6211991,388.3172,0.407,142.9,27.58,0,0,0,773.1882,0.479,237.2,80.2
"2021-06-07 18:00:00",36,13.78,21.09,0,744.664,"NAN","NAN","NAN",0,4.645339,54.20191,0.4608165,1.061115,94.31423,0.622,388.3172,0.243,330.3,24.57,0,0,0,773.1871,0.48,234.7,79.97
"2021-06-07 18:10:00",37,13.77,21.1,0,761.2916,"NAN","NAN","NAN",0,3.319691,58.32684,0.4519211,1.060264,94.24524,0.621507,388.3113,0.494,18.37,12.28,0,0,0,773.1862,0.48,205.1,80.1
"2021-06-07 18:20:00",38,13.77,21.07,0,777.9484,"NAN","NAN","NAN",0,3.321034,60.37199,0.4677711,1.062123,94.18176,0.6211715,388.3033,0.485,76.14,39.37,0,0,0,773.1857,0.469,233.8,81.2
"2021-06-07 18:30:00",39,13.76,20.77,0,800.6683,"NAN","NAN","NAN",0,2.633376,65.34556,0.4822153,1.061574,94.15757,0.6209874,388.2915,0.997,122,13.52,0,0,0,773.1871,0.467,244.5,81.5
"2021-06-07 18:40:00",40,13.77,20.23,0,801.4156,"NAN","NAN","NAN",0,2.384206,66.84333,0.4846523,1.062497,94.15429,0.6210071,388.2756,0.716,134.9,13.36,0,0,0,773.1859,0.477,231.9,80.5
"2021-06-07 18:50:00",41,13.78,19.66,0,803.1125,"NAN","NAN","NAN",0,2.598096,65.54112,0.4824919,1.062089,94.1549,0.6209928,388.2736,0.306,53.23,0.702,0,0,0,773.1884,0.477,267.5,80.5
"2021-06-07 19:00:00",42,13.81,18.97,0,794.8429,"NAN","NAN","NAN",0,2.603537,67.2727,0.4953693,1.062419,94.1766,0.6211507,388.2825,0.179,61.88,10.13,0,0,0,773.1898,0.477,281.8,80.5
"2021-06-07 19:10:00",43,13.82,18.19,0,779.5225,"NAN","NAN","NAN",0,2.826101,67.02078,0.5014115,1.063058,94.24755,0.6216473,388.2915,0,0,0,0,0,0,773.1913,0.465,314.6,81.6
"2021-06-07 19:20:00",44,13.85,17.32,"NAN",768.9951,"NAN","NAN","NAN","NAN",3.499876,65.39256,0.5131094,1.040492,94.36647,0.6214214,388.3053,0.159,242.5,8.83,0,0,0,773.3009,0.464,331.9,81.7
"2021-06-07 19:30:00",45,13.89,16.23,"NAN",760.4169,"NAN","NAN","NAN","NAN",2.724404,67.7332,0.502759,0.9988679,94.52956,0.6206316,388.3251,0.81,11.59,9.7,0,0,0,773.1965,0.466,317,81.6
