#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2016-01-01 to 2021-11-01
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1096: May Creek, AK
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Increment     Value       None           Day                           N/A        Inches             N/A           PRCP          Total precipitation                                                                                
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# May Creek (1096) 
# Alaska  SNOTEL Site - 1610 ft
# Reporting Frequency: Daily; Date Range: 2016-01-01 to 2021-11-01
#
# As of: Nov 10, 2021 9:47:42 AM GMT-08:00
#
Date,May Creek (1096) Precipitation Accumulation (mm) Start of Day Values,May Creek (1096) Precipitation Increment (mm),May Creek (1096) Snow Depth (cm) Start of Day Values,May Creek (1096) Snow Water Equivalent (mm) Start of Day Values
2016-01-01,157,0,33,76
2016-01-02,157,3,33,76
2016-01-03,160,0,33,76
2016-01-04,160,0,33,76
2016-01-05,160,0,33,76
2016-01-06,160,0,33,76
2016-01-07,160,0,33,76
2016-01-08,160,3,33,76
2016-01-09,163,0,36,79
2016-01-10,163,0,36,79
2016-01-11,163,0,36,79
2016-01-12,163,5,36,79
2016-01-13,168,0,41,84
2016-01-14,168,0,41,84
2016-01-15,168,0,38,84
2016-01-16,168,0,36,84
2016-01-17,168,0,38,84
2016-01-18,168,0,36,84
2016-01-19,168,0,38,84
2016-01-20,168,0,38,84
2016-01-21,168,0,38,84
2016-01-22,168,0,38,84
2016-01-23,168,0,38,84
2016-01-24,168,0,38,84
2016-01-25,168,0,38,84
2016-01-26,168,0,38,84
2016-01-27,168,0,38,84
2016-01-28,168,0,38,84
2016-01-29,168,0,38,84
2016-01-30,168,3,38,84
2016-01-31,170,0,41,86
2016-02-01,170,0,41,86
2016-02-02,170,0,41,86
2016-02-03,170,0,38,86
2016-02-04,170,0,41,86
2016-02-05,170,0,41,86
2016-02-06,170,0,41,86
2016-02-07,170,0,41,86
2016-02-08,170,0,41,86
2016-02-09,170,0,41,86
2016-02-10,170,0,41,86
2016-02-11,170,0,41,86
2016-02-12,170,0,41,86
2016-02-13,170,0,41,86
2016-02-14,170,0,41,86
2016-02-15,170,0,41,86
2016-02-16,170,0,41,86
2016-02-17,170,0,41,86
2016-02-18,170,0,41,86
2016-02-19,170,0,41,86
2016-02-20,170,3,41,86
2016-02-21,173,0,43,89
2016-02-22,173,0,43,89
2016-02-23,173,0,43,89
2016-02-24,173,0,43,89
2016-02-25,173,0,43,89
2016-02-26,173,0,43,89
2016-02-27,173,0,43,89
2016-02-28,173,0,43,89
2016-02-29,173,0,43,89
2016-03-01,173,0,43,89
2016-03-02,173,0,43,89
2016-03-03,173,0,43,89
2016-03-04,173,0,43,89
2016-03-05,173,0,43,89
2016-03-06,173,0,43,89
2016-03-07,173,0,43,89
2016-03-08,173,0,43,89
2016-03-09,173,0,43,89
2016-03-10,173,0,43,89
2016-03-11,173,0,43,89
2016-03-12,173,0,43,89
2016-03-13,173,0,43,89
2016-03-14,173,0,43,89
2016-03-15,173,0,43,89
2016-03-16,173,0,43,89
2016-03-17,173,0,43,89
2016-03-18,173,5,43,89
2016-03-19,178,0,48,94
2016-03-20,178,0,48,94
2016-03-21,178,0,46,94
2016-03-22,178,0,46,94
2016-03-23,178,0,46,94
2016-03-24,178,0,46,94
2016-03-25,178,0,43,94
2016-03-26,178,0,41,94
2016-03-27,178,0,38,94
