,SR01Up_Avg,SR01Dn_Avg,IR01UpCo_Avg,IR01DnCo_Avg,T_RTD (2 m),P_PARO,T_HMP (3 m),rH_HMP (3 m),meanwsp_YWM,meanwdir_YWM,stdwdir_YWM,SWrad_Avg,Temp_Hobo (2 m),RH_Hobo (2 m)
5/17/20 0:00,0.166801417,0.995664333,308.5669367,333.5009333,6.887261825,939.920574,6.78126,58.8991,1.35378,194.6604922,0.002550652,0.04291,6.797161667,60.96007833
5/17/20 1:00,0.547541,0.796670167,300.995271,326.1200667,6.01354554,940.4812305,5.700925,64.5812,1.203325,192.4188915,0.002580428,0.235355,6.12047,66.53527833
5/17/20 2:00,3.241511667,0.828559667,307.1944784,325.7448,5.466812205,940.9107525,5.295555,65.2015,1.19571,190.8789391,0.002539586,2.25376,5.751035,67.13796667
5/17/20 3:00,0.559784583,0.678674,325.3456337,328.3456167,5.53309882,941.1812295,5.57891,67.90795,1.081275,192.8897138,0.002501671,0.29908,5.734085,70.34218
5/17/20 4:00,0.454306333,0.798540167,313.3700591,325.9597667,5.0706605,941.040353,5.17381,70.70945,1.182015,190.8789391,0.002732226,0.12352,5.303856667,73.36493833
5/17/20 5:00,16.78527217,2.216435667,314.8542298,326.5150833,4.711303695,940.8957585,4.65366,72.71605,0.75263,185.9919772,0.002587297,13.854645,4.747178333,76.24942333
5/17/20 6:00,84.29574217,9.736260167,312.8157511,330.5828667,5.206423515,940.8312525,5.14814,70.31225,0.95265,188.4264031,0.002414964,51.48872,5.514038333,74.03519833
5/17/20 7:00,213.4776105,20.52021767,320.1787801,353.1568833,7.14479574,940.810502,6.787075,70.83945,1.04268,186.9439719,0.002411567,202.127,7.25385,73.640655
5/17/20 8:00,188.9410567,16.52213606,324.8732254,363.0022,7.84431974,940.6930205,7.25995,65.29765,0.895765,186.6204981,0.002408022,195.1221,7.933235,67.62084
5/17/20 9:00,296.8444402,25.87524437,327.6780886,372.5820333,8.257048175,940.7309115,8.054055,64.3148,0.83036,191.1475439,0.002448009,263.8622,8.711516667,67.18519333
5/17/20 10:00,367.9484733,34.21053383,334.1854437,395.76805,9.91059387,940.420619,9.345515,63.69305,0.970165,192.9040122,0.002326341,362.191,9.83826,66.4862
5/17/20 11:00,344.3531217,32.8218595,334.8175787,394.0155333,10.03330413,940.2448885,9.65232,63.8236,1.06759,192.9040122,0.002286101,344.0345,10.02330167,66.98032667
5/17/20 12:00,321.24138,36.084292,345.1335035,395.7922667,10.04980325,940.372551,9.57356,64.52355,1.0046,194.0922246,0.002272563,350.30325,10.034015,66.341795
5/17/20 13:00,574.31612,81.84239017,326.6183942,475.0316167,13.92173482,939.872578,13.5189,45.57215,1.25689,200.6502178,0.002196463,646.428,13.60509833,47.54773167
5/17/20 14:00,501.2998583,67.63166233,325.4807485,438.8507,12.83117833,939.4123795,12.4652,44.8344,1.37606,199.6482255,0.002184481,531.93795,12.68802833,47.056455
5/17/20 15:00,591.4725467,81.6342035,323.4214859,474.7842167,15.2755576,939.2813915,14.4147,41.07155,1.255955,197.3131724,0.002184481,699.69445,14.7478,42.21673167
5/17/20 16:00,674.1179867,85.856673,321.8543638,476.93635,15.68630935,939.2649685,14.748,36.7801,1.3634,201.368365,0.002204518,651.009,15.40159,38.12401
5/17/20 17:00,404.5766017,55.8027175,323.0733168,426.7890833,13.49217902,939.029065,12.94925,43.1653,1.523685,201.1725948,0.002238704,412.35865,13.57185667,44.11765167
5/17/20 18:00,374.204355,52.05571633,323.1882422,436.7082333,13.13030906,938.668487,12.7801,45.2493,1.44717,197.4718411,0.002238704,413.3818,13.13385167,44.89441667
5/17/20 19:00,355.7285517,51.17422233,333.1311194,424.1246833,13.68893937,938.5508075,13.25555,41.18705,1.45612,199.3306503,0.002219387,386.80755,13.76340667,42.51592167
5/17/20 20:00,404.7019283,53.10073917,309.6657782,412.3572667,13.04932356,938.458345,12.59505,45.0639,1.35036,197.2137939,0.002238704,334.16665,13.34163,45.76283167
5/17/20 21:00,488.065435,50.34368183,306.2045724,378.6148,10.28973974,938.608288,9.971515,46.52155,1.071015,193.4799684,0.002199126,443.882365,10.32692667,47.35116
5/17/20 22:00,32.3462845,6.241805,291.9017183,333.0551167,7.038116525,938.8332895,6.95995,55.62155,1.15247,189.2616147,0.00230732,24.325035,6.955805,58.24625333
