Site,Date_Time,Latitude,Longitude,HAMSL_m,Melt_Season_SWE_Change_m,LastVisitDate,DaysSinceLastVisit
K6300 (K17b),"Tuesday, August 16, 2016",62.95714301,-151.2408991,1935.322,-0.84,40:00.0,95
K3800 (K53),"Tuesday, August 16, 2016",62.72919191,-151.3288985,1116.826,-2.984,33:00.0,96
K10000 (Kpass),"Tuesday, August 16, 2016",63.07662778,-151.172355,3058.434,0.95,04:00.0,95
K10000 (Kpass),"Monday, August 7, 2017",63.07657061,-151.174378,3055.392,0.323736903,08:00.0,88
K6300 (K17b),"Monday, August 7, 2017",62.95952261,-151.2387296,1934.864,-0.964,06:00.0,88
K3800 (K53),"Monday, August 7, 2017",62.72758521,-151.33092,1110.493,-2.811,22:00.0,87
K14300 (14Camp),"Tuesday, August 28, 2018",NULL,NULL,NULL,0.5635,29:00.0,88
K3800 (K53),"Tuesday, August 28, 2018",62.72580811,-151.3330836,1103.871,-2.719,00:00.0,55
K6300 (K17b),"Tuesday, August 28, 2018",62.95792782,-151.2400425,1933.323,-0.565,10:00.0,87
K10000 (Kpass),"Tuesday, August 28, 2018",63.07655264,-151.1744218,3057.484,1.744,36:00.0,92
K6300 (K17b),"Wednesday, August 7, 2019",62.95639336,-151.2412175,1931.235,-1.0875,16:00.0,80
K3800 (K53),"Wednesday, August 7, 2019",62.7292455,-151.3287372,1113.585,-2.69415,08:00.0,81
K10000 (Kpass),"Thursday, August 8, 2019",63.07651733,-151.1747327,3055.127,1.55,46:00.0,78
K14300 (14Camp),"Thursday, August 8, 2019",63.06959251,-151.0724481,4346.515,0.32,35:00.0,78
K7100 (BaseCamp),"Thursday, September 26, 2019",NULL,NULL,NULL,-1.125,34:00.0,128
K3800 (K53),"Friday, August 28, 2020",62.72948887,-151.3285218,1110.396,-0.925,59:00.0,45
K7100 (BaseCamp),"Friday, August 28, 2020",62.96981398,-151.1711603,2147.971,-0.273,42:00.0,45
K6300 (K17b),"Friday, August 28, 2020",62.95854323,-151.2397034,1931.717,-0.458,05:00.0,45
K3800 (K53),"Saturday, August 28, 2021",62.7278153,-151.3305566,1104.468,-3.111,29:00.0,96
K6300 (K17b),"Saturday, August 28, 2021",62.95690015,-151.2409962,1931.418,-0.54,01:00.0,96
K7100 (BaseCamp),"Saturday, August 28, 2021",62.96987266,-151.1732697,2137.478,-0.525,06:00.0,96
